"Bonfante GM","2021","(H)ERÉTICA: SOBRE EREÇÕES E ÉTICA","Ling. (dis)curso","21","2","211-230","TRUE","","","",""
"Emge LA,  Durfee RB","1966","Pelvic organ prolapse: four thousand years of treatment","Clinical obstetrics and gynecology","9","4","997-1032","TRUE","","","",""
"Muller R","1970","Dracunculus and dracunculiasis","Advances in parasitology","9","","73-151","TRUE","","","",""
"Coccia CT,  Ausman JI","1987","Is a case report an anecdote? In defense of personal observations in medicine","Surgical neurology","28","2","111-113","TRUE","","","",""
"Baker BJ Armelagos GJ","1987","The origin and antiquity of syphilis: paleopathological diagnosis and interpretation","Current anthropology","29","5","703-738","TRUE","","","",""
"Beveridge WI","1990","The chronicle of influenza epidemics","History and Philosophy of the Life Sciences","13","2","223-234","TRUE","","","",""
"P F Brennan SR Moore SM","1990","The use of home-based computers to support persons living with AIDS/ARC","Journal of community health nursing","8","1","3-14","TRUE","","","",""
"Waldron HA","1991","Variations in the prevalence of spondylolysis in early British populations","Journal of the Royal Society of Medicine","84","9","547–549","TRUE","","","",""
"Park K","1993","The criminal and the saintly body: autopsy and dissection in Renaissance Italy","Renaissance quarterly","47","1","1-33","TRUE","","","",""
"H S Zuckerman AD, Ricketts TC","1994","Alliances in health care: what we know, what we think we know, and what we should know","Health care management review","20","1","54-64","TRUE","","","",""
"Shpakov AO","1995","The homology of the primary structure of the third cytoplasmic domains in rhodopsin-type receptors and of the cytoplasmic tail in the beta-subunit of the insulin receptor","Tsitologiia","38","11","1179-1190","TRUE","","","",""
"Bright GR, Hall PW","1995","Information technology in medical education: the Case Western Reserve University experience","JAMA","85","4","","TRUE","","","",""
"Mandil SH","1995","Telematics in health care in developing countries","Journal of Medical Systems","","","","TRUE","","","",""
"Sönksen P, Williams C","1996","Information technology in diabetes care 'Diabeta': 23 years of development and use of a computer-based record for diabetes care","International journal of bio-medical computing","42","1","67-77","TRUE","","","",""
"H Kindler TM, Densow D","1996","Internet access to a medical case repository for teaching and analysis","Proceedings : a conference of the American Medical Informatics Association","","","543–547","TRUE","","","",""
"S J Greenwood MN, Gray MW","1996","Molecular characterization of U3 small nucleolar RNA from the early diverging protist, Euglena gracilis","Current genetics","30","4","338-346","TRUE","","","",""
"Kuchenbecker J, Demeler U","1997","Computer applications in ophthalmology","Indian Journal of Ophthalmology","69","3","548-553","TRUE","","","",""
"Peters J","1997","The dromedary: ancestry, history of domestication and medical treatment in early historic times","Tierärztliche Praxis. Ausgabe G, Grosstiere/Nutztiere","25","6","559-565","TRUE","","","",""
"Sikorski R, Peters R","1997","Medical literature made easy. Querying databases on the Internet","JAMA","277","12","959-960","TRUE","","","",""
"Smith D, Timoney A","1997","Patient information systems","arXiv","","","","TRUE","","","",""
"Fickett JW","1997","Predictive methods using nucleotide sequences","Methods of biochemical analysis","39","","231-245","TRUE","","","",""
"Hollander S","1998","Assessing and enhancing medical students' computer skills: a two-year experience","Bulletin of the Medical Library Association","87","1","67-73","TRUE","","","",""
"G S Hoekzema CK, Deckert J","1998","Family practice residency program sites on the World Wide Web","Family medicine","30","4","277-278","TRUE","","","",""
"I Dix CS et al.","1998","Protein-RNA interactions in the U5 snRNP of Saccharomyces cerevisiae","RNA","4","10","1239–1250","TRUE","","","",""
"Massenet S, Branlant C","1999","A limited number of pseudouridine residues in the human atac spliceosomal UsnRNAs as compared to human major spliceosomal UsnRNAs","RNA","5","11","1495–1503","TRUE","","","",""
"A Gorla-Bajszczak CJ et al. ","1999","Conserved amino acids in the ligand-binding and tau(i) domains of the peroxisome proliferator-activated receptor alpha are necessary for heterodimerization with RXR","Molecular and Cellular Endocrinology","147","1","37-47","TRUE","","","",""
"A F alexis VA, Stiller MJ","1999","Potential therapeutic applications of tea in dermatology","International Journal of Dermatology","38","10","735-743","TRUE","","","",""
"G J Whitman SL et al. ","1999","Process mapping in screening mammography","Journal of Digital Imaging","12","Suppl 1","","TRUE","","","",""
"Hermann T, Westhof E","1999","Simulations of the dynamics at an RNA-protein interface","Nature structural biology","6","","540–544","TRUE","","","",""
"H Askitopoulou IA, Konsolaki E","2000","Analgesia and anesthesia: etymology and literary history of related Greek words","Anesthesia and Analgesia","91","2","486-491","TRUE","","","",""
"J-Y Pierga EM et al. ","2000","Prognostic value of persistent node involvement after neoadjuvant chemotherapy in patients with operable breast cancer","British Journal of Cancer","83","11","1480-1487","TRUE","","","",""
"Jan Voswinkel KW et al. ","2001","B lymphocyte involvement in ankylosing spondylitis: the heavy chain variable segment gene repertoire of B lymphocytes from germinal center-like foci in the synovial membrane indicates antigen selection","Arthritis Research","3","3","189-195","TRUE","","","",""
"K Webb PH, Noort M","2001","Collaborative intersectoral approaches to nutrition in a community on the urban fringe","Health Educational Behavior","28","3","306-319","TRUE","","","",""
"S S Lim TV et al. ","2001","Cost-effectiveness of prescribing statins according to pharmaceutical benefits scheme criteria","The Medical journal of Australia","175","9","459-564","TRUE","","","",""
"Stephen E Lapinsky JW et al. ","2001","Handheld computers in critical care","Critical Care","5","4","227-231","TRUE","","","",""
"Iginia Mancinelli AC et al. ","2001","Mass suicide: historical and psychodynamic considerations","Suicide & Life-Threatening Behavior","31","1","91-100","TRUE","","","",""
"Lal A","2001","Pharmaceutical drug promotion: how it is being practiced in India?","The Journal of the Association of Physicians of India","49","","266-273","TRUE","","","",""
"W C Winkler FJ et al. ","2001","The GA motif: an RNA element common to bacterial antitermination systems, rRNA, and eukaryotic RNAs","RNA","7","8","1165–1172","TRUE","","","",""
"Subbarayappa BV","2001","The roots of ancient medicine: an historical outline","Journal of biosciences","26","2","135-143","TRUE","","","",""
"Friedman BA","2001","The total laboratory solution: a new laboratory E-business model based on a vertical laboratory meta-network","Clinical chemistry","47","8","1526-1535","TRUE","","","",""
"Maantay J","2001","Zoning law, health, and environmental justice: what's the connection?","The Journal of Law, Medicine & Ethics","30","4","572 - 593","TRUE","","","",""
"Martin R Pool JS et al. ","2002","Distinct modes of signal recognition particle interaction with the ribosome","Science","297","5585","1345-1348","TRUE","","","",""
"Aoun S, Johnson L","2002","Men's health promotion by general practitioners in a workplace setting","The Australian Journal of Rural Health","10","6","268-272","TRUE","","","",""
